descrition,product_id,product_name,steps
"Mô tả: Trà Ô long được biết đến như một trong những đại danh trà với hương vị tinh tế. Đặc điểm chế biến trà Ô long rất độc đáo với cách thức bán lên men tự nhiên. Sau khi thu hoạch theo nguyên lý “1 búp 3 lá” trà sẽ được ủ lên men, khi thấy màu lá chuyển sang ba phần đỏ, bảy phần đen thì là thời điểm trà được sao ủ tốt nhất để có được mùi vị thơm ngon nhất.",tra-o-long-80-phuc-long-180g,Trà Ô Long 80,3
"Mô tả: Trà Ô long là dòng trà có hương vị đặc trưng được biết đến như một đại danh trà. Trà Ô long được thu hoạch theo nguyên lý “1 búp 3 lá” chế biến độc đáo với cách thức bán lên men tự nhiên, khi thấy màu lá chuyển sang ba phần đỏ bảy phần đen là thời điểm ủ tốt nhất để có được mùi vị thơm ngon nhất.",tra-o-long-80-phuc-long,Trà Ô long 80,3
"Mô tả: Trà Ô long là dòng trà có hương vị đặc trưng được biết đến như một đại danh trà. Trà Ô long được thu hoạch theo nguyên lý “1 búp 3 lá” chế biến độc đáo với cách thức bán lên men tự nhiên, khi thấy màu lá chuyển sang ba phần đỏ bảy phần đen là thời điểm ủ tốt nhất để có được mùi vị thơm ngon nhất.",tra-o-long-hop-oval-phuc-long,Trà ô long hộp oval,3
"Mô tả: Là sự kết hợp hoàn hảo giữa trà xanh Thái Nguyên và hoa lài. Trà được sao ướp lặp lại nhiều lần giúp cho lá trà thẩm thấu toàn bộ hương thơm của hoa lài. Nên khi pha trà có mùi thơm tự nhiên của hoa lài, màu vàng đẹp, vị đắng hậu ngọt của trà thái nguyên tạo nên cảm giác khoan khoái và thư giãn cho người dùng.",tra-lai-thai-nguyen-100g,Trà lài Thái nguyên,3
"Mô tả: Gồm trà xanh, trà sen, trà lài, trà Ô long, trà Thiết Quan Âm rất thích hợp làm quà tặng cho đối tác, tri ân khách hàng hay để biếu người thân, gia đình trong các dịp lễ.",hop-giay-vuong-5-loai-tra-phuc-long,Hộp giấy vuông 5 loại trà,3
Mô tả: Trà được ướp từ những búp trà non xanh tươi nhất giữa tiết trời xuân với hoa lài tươi qua đôi bàn tay khéo léo của những nghệ nhân trà. Khi pha trà có hương thơm dịu nhẹ của hoa lài tươi và vị trà xanh nguyên chất tạo cảm giác tươi mát thư giãn khi uống,set-tieu-long-chau-phuc-long,Set Tiểu Long Châu,3
"Mô tả: Trà xanh được trồng tại khu vực Lâm Đồng nơi có khí hậu và thổ nhưỡng thích hợp để có được những cây trà phẩm chất tốt nhất, thông qua sàng lọc và lựa chọn ra những đọt trà non tươi ngon nhất để chế biến thành sản phẩm chính vì vậy nên chất lượng của trà luôn được đảm bảo tốt nhất. Trà được phơi khô không qua công đoạn lên men nhằm mang lại hương vị thiên nhiên khi dùng, trà có màu xanh vàng và vị đắng chát mạnh.",tra-xanh-lon-giay-cao-cap-phuc-long,Trà xanh lon giấy cao cấp,3
"Mô tả: Trà Ô Long ủ lạnh được chế biến độc đáo với công thức lên men bán tự nhiên. Sau khi thu hoạch theo nguyên lý “một búp ba lá”, trà được ủ lên men, khi thấy màu lá chuyển sang ba phần đỏ, bảy phần đen, là thời điểm trà được sao ủ tốt nhất để có được mùi vị thơm ngon nhất. ",tra-o-long-u-lanh-tui-tam-giac,Trà Ô Long ủ lạnh túi tam giác,3
"Mô tả: Trà sen được chọn lọc tinh tế từ những bông sen tươi mới hái và những búp trà xanh non mơn mởn được ướp cùng nhau sau đó sấy trong vòng một ngày, tiếp tục sàng lọc nhụy cũ và ướp tiếp nhụy mới, quy trình ướp sen vào trà được lặp lại nhiều lần giúp cho lá trà thẩm thấu toàn bộ hương thơm của hoa sen. Hương vị đậm đà, thanh khiết của trà sen sẽ mang lại năng lượng cho tinh thần sảng khoái.",tra-sen-lon-giay-cao-cap-phuc-long,Trà sen lon giấy cao cấp,3
"Mô tả: Cà phê Moka thuộc dòng sản phẩm của Arabica, hạt có hình dáng thon dài và đường rãnh lượn sóng ở giữa hạt. Cà phê Moka có hương thơm nhẹ nhàng quyến rũ rất đặc trưng, vị từ chua chuyển sang hậu đắng rất đặc biệt. Khi pha cà phê có màu nâu nhạt sánh. Cà phê Moka sẽ là lựa chọn tuyệt vời cho những ai yêu thích cà phê sữa.",ca-phe-moka-phuc-long-co-bo-200g,Cà phê Moka có bơ,3
